CaseUID,Province,Harvest,date_harvested,year_harvested,time,easting,northing,Species,Sex,CWD_Status,e_min,e_aver,Dtown,Driver,Dstreams,Droad,rugg3,rugg6,rugg12,Road3km,Stream3km,Pcover3,Pagri3,Pgrass3,Popen3,Road6km,Stream6km,Pcover6,Pagri6,Pgrass6,Popen6,Road12km,Stream12km,Pcover12,Pagri12,Pgrass12,Popen12,m_aver,m_min,w_aver,w_min
22962,Alberta,Hunter,21/11/2009,2009,8,492364.71,5897490.281,white-tailed deer,male,negative,49.01583292,106.3945063,12.1758,30.8715,2209.070068,800,4.43544,4.982729,5.84553,3450.092388,0,0.00089955,0.993403298,0,0.993403298,6804.853621,0,0.00179964,0.985302939,0,0.985302939,10589.57093,0,0.000899348,0.992655325,0,0.992655325,2.813916248,2.525364366,17.25948383,16.44282224
22965,Alberta,Hunter,12/11/2009,2009,8,477412.546,5944683.505,white-tailed deer,male,negative,65.16084435,142.7835607,6.64831,11.315899,300,800,23.687999,24.921899,25.785999,3440.352233,1587.131549,0.109979023,0.846269104,0.019161677,0.866347018,7143.987952,3850.660871,0.09839508,0.81940903,0.033143371,0.852857357,13721.61232,11442.84813,0.118564041,0.771865398,0.033135917,0.804466762,1.556713816,1.248520821,4.11589557,2.804267315
22992,Alberta,Hunter,14/11/2009,2009,8,493499.289,5951059.482,white-tailed deer,male,negative,52.65553741,136.1540283,8.65332,5.72451,0,700,6.59728,9.59675,12.454099,3552.025087,4555.857794,0.076461769,0.632983508,0.192987714,0.826086957,6678.226813,7116.750299,0.092859286,0.597659766,0.23159946,0.831833183,11725.31283,13743.1538,0.114409957,0.494227021,0.338129496,0.832883491,1.592016509,1.26225427,4.650780712,3.287251929
23007,Alberta,Hunter,16/11/2009,2009,8,483117.947,5836207.494,white-tailed deer,male,negative,7.265486264,105.876,3.02655,1.272789,200,282.842987,15.7698,22.327999,28.173,5162.057774,3253.122109,0,0.81000899,0.189318932,1,9219.37354,6512.785053,0.079046048,0.758062097,0.130213021,0.887955602,13690.58725,15363.00612,0.057721139,0.790029985,0.071658796,0.861694153,2.053530875,1.14467853,5.194116987,2.242553815
23010,Alberta,Hunter,26/01/2010,2010,8,520206.072,5835290.539,white-tailed deer,male,negative,18.84967126,73.43807124,18.402399,3.02324,2961.419921,282.842987,3.47127,5.15206,6.304729,2441.207374,0,0.191105769,0,0.808752998,0.808894231,4010.893495,0,0.181532004,0,0.817991004,0.818318093,9773.710143,0,0.231403719,0,0.753112344,0.753824235,1.09104261,0.577558602,2.887844642,0.777174584
23022,Alberta,Hunter,22/11/2009,2009,8,530466.251,5847646.137,white-tailed deer,male,negative,2.795004011,62.55973603,5.82409,2.080869,565.684997,1615.550048,21.504499,27.1788,30.2138,0,478.526074,0.381938194,0.585358536,0.01650165,0.602160216,0,899.459392,0.315197842,0.627997602,0.046054605,0.674760192,1056.725094,1504.377859,0.194092511,0.740160432,0.053089382,0.793687683,1.087987208,0.398060419,2.985101108,0.671422908
23025,Alberta,Hunter,26/01/2010,2010,8,471240.94,5900812.7,white-tailed deer,male,negative,60.59555137,125.3280938,7.68505,47.826,5990.830078,800,2.608969,3.98287,6.300449,3272.596661,0,0.222588376,0.777411624,0,0.777411624,6718.886867,0,0.132663769,0.846349873,0.021133094,0.867336231,10677.47281,0,0.083602009,0.901402114,0.014986886,0.916397991,1.96488095,1.718107927,6.562169069,5.507036939
23060,Alberta,Hunter,26/11/2009,2009,8,451444.19,5761797.729,white-tailed deer,male,negative,87.62968575,166.2310166,19.156499,15.962499,583.09497,800,1.378739,1.96781,2.373869,2148.919244,471.606056,0.020389805,0.472563718,0.44620917,0.91964018,4461.99326,2362.509447,0.023067705,0.53070701,0.355535554,0.886908328,7105.882915,4093.631633,0.040338907,0.4818175,0.341479871,0.823573517,3.034396026,2.623135426,12.45271671,11.24118442
23063,Alberta,Hunter,20/11/2009,2009,8,454170.126,5797379.824,white-tailed deer,male,negative,55.62220923,145.2999393,13.9607,1.38924,0,800,21.6256,21.9407,27.494899,2585.533509,3547.388616,0.334632684,0.484257871,0.086056972,0.572113943,5831.243247,6209.966604,0.349084908,0.45739574,0.099445028,0.555955596,12929.96512,12899.2791,0.352720732,0.453080498,0.107579279,0.561235197,1.75088871,1.324846471,4.85186591,3.560136915
23080,Alberta,Hunter,12/12/2009,2009,8,491800,5852700,white-tailed deer,male,negative,11.92518344,96.12304168,11.7068,0.2,100,100,24.933599,33.529899,35.984401,2263.250868,7820.956344,0.427245509,0.095808383,0.344031194,0.439221557,3123.976205,13662.70382,0.385065227,0.114709852,0.381823635,0.497225971,6388.015546,19696.07017,0.323216427,0.23448741,0.355032248,0.590452638,1.358869955,0.514381321,3.419066379,0.651437869
23084,Alberta,Hunter,30/11/2009,2009,8,566179.78,5854287.61,white-tailed deer,male,negative,3.961637482,49.69402405,12.133399,2.353719,223.606994,800,10.4343,11.685899,12.017499,2299.945427,7206.750599,0.051289742,0.831433713,0.090717933,0.922615477,5356.521826,12834.25738,0.049354935,0.834233423,0.092639784,0.927242724,10712.62528,25572.82155,0.060560636,0.82281517,0.097615834,0.91987708,1.352917148,0.776414513,2.986603158,1.378811754
23087,Alberta,Hunter,18/11/2009,2009,8,505374.122,5895880.697,white-tailed deer,male,negative,45.87240057,95.6053536,14.7959,21.9911,3330.169921,300,4.314189,6.069469,7.940619,4450.583821,0,0.141616766,0.858383234,0,0.858383234,8746.150259,0,0.126948441,0.871552758,0,0.871552758,12062.26559,0,0.094799161,0.902652878,0,0.902652878,1.777969981,1.467410165,6.859164819,5.785960336
23088,Alberta,Hunter,19/12/2009,2009,8,553297.912,5849459.491,white-tailed deer,male,negative,12.20430119,51.87724048,10.977199,3.05941,1403.569946,800,10.5675,11.3745,10.345999,2161.996379,0,0.021869383,0.931995207,0.035050929,0.967046135,5143.507532,0,0.015746851,0.942261548,0.035987404,0.978704259,8692.327988,1208.774522,0.014989133,0.929925804,0.047908232,0.977891029,1.915206373,1.533961409,4.500499062,3.188140361
23096,Alberta,Hunter,30/11/2009,2009,8,498600,5850400,white-tailed deer,male,negative,5.522680509,89.85613028,10.0225,5.37122,4243.819824,700,2.991739,3.144259,3.53021,971.528142,0,0.737616331,0,0.248201439,0.246472531,2590.28931,0,0.786560672,0,0.204920492,0.204889756,6675.765214,0,0.817547807,0,0.161309658,0.160854893,1.238225236,0.340757197,3.147664127,0.330015832
23097,Alberta,Hunter,02/12/2009,2009,8,530801.258,5829647.243,white-tailed deer,male,negative,10.54333409,67.59511421,16.0328,11.2606,200,800,19.253299,23.055299,25.337299,4153.779242,2868.406072,0.107378524,0.613977205,0.283828383,0.892621476,8027.492679,5116.604295,0.091876499,0.660671463,0.249025487,0.908123501,11527.54122,9388.330608,0.073329834,0.727899828,0.193971658,0.92127165,1.152321565,0.625308922,3.86535146,2.016676209
23098,Alberta,Hunter,03/12/2009,2009,8,516200,5839100,white-tailed deer,male,negative,16.21881623,75.72648404,14.410099,2.10238,1843.910034,806.226013,1.75177,2.441989,3.36999,956.569958,0,0.222887957,0.476333134,0.270683453,0.747153984,6578.503795,0,0.216374269,0.454340981,0.273381295,0.728145149,11727.84421,350.828968,0.236709905,0.394016645,0.252755492,0.648721602,1.144049081,0.527968687,2.84017608,0.5896431
23108,Alberta,Hunter,30/11/2009,2009,8,504355.51,5858893.579,white-tailed deer,male,negative,8.997207822,85.09302754,5.20096,2.617249,1253,583.09497,3.78724,5.397729,10.8338,3876.752016,0,0.03326341,0.958046149,0,0.958046149,8596.995878,192.237018,0.065637644,0.922223887,0,0.922223887,18501.94415,5119.295389,0.060485684,0.907360216,0.01094699,0.918003298,1.856270584,1.056414846,4.763886003,2.139321891
23109,Alberta,Hunter,20/11/2009,2009,8,526028.969,5811804.545,white-tailed deer,male,negative,26.28413439,80.60856881,13.8,8.94707,1772,500,2.685369,4.1269,6.08337,4178.939223,0,0.007791429,0.956547797,0,0.956547797,7925.430606,0,0.067356736,0.902040204,0,0.902040204,10572.46384,256.83921,0.105973169,0.863598891,0.000299873,0.863898673,1.523822405,1.086666618,3.963219795,2.075093844
23111,Alberta,Hunter,14/11/2009,2009,8,537526.497,5913934.058,white-tailed deer,male,negative,12.40568802,86.20541493,6.93542,32.4052,100,500,7.540339,7.26447,10.1511,3104.350968,2401.873319,0.022188906,0.904947526,0.067684936,0.971814093,5372.433208,4690.753219,0.024730216,0.783872902,0.190469054,0.972272182,8931.643642,10670.32587,0.028044391,0.709808038,0.258842926,0.967456509,2.931284716,2.433207499,52.2696364,51.60304674
