"","BASIN","PROG_CODE","SITE_NAME","COL_DATE","COL_TIME","Lat","Long","huc08","dt","year","Total_N"
"590","LOWER ARKANSAS RIVER BASIN","SC","SC619","11/17/15",1505,37.065114,-98.22056,11060004,4401.25908564815,2015,0.695
"591","LOWER ARKANSAS RIVER BASIN","SC","SC620","2/24/15",1353,37.06514,-98.28392,11060004,4135.20908564815,2015,0.555
"592","LOWER ARKANSAS RIVER BASIN","SC","SC620","5/19/15",1618,37.06514,-98.28392,11060004,4219.30978009259,2015,1.5
"593","LOWER ARKANSAS RIVER BASIN","SC","SC620","8/25/15",1442,37.06514,-98.28392,11060004,4317.24311342593,2015,0.865
"594","LOWER ARKANSAS RIVER BASIN","SC","SC620","11/17/15",1451,37.06514,-98.28392,11060004,4401.24936342593,2015,0.885
"595","LOWER ARKANSAS RIVER BASIN","SC","SC623","2/24/15",1118,37.12126,-99.17063,11060002,4135.10144675926,2015,0.455
"596","LOWER ARKANSAS RIVER BASIN","SC","SC623","8/25/15",1238,37.12126,-99.17063,11060002,4317.15700231482,2015,0.535
"597","LOWER ARKANSAS RIVER BASIN","SC","SC623","11/17/15",1217,37.12126,-99.17063,11060002,4401.14241898148,2015,1.355
"598","NEOSHO RIVER BASIN","SC","SC625","2/3/15",1304,38.394,-96.62651,11070203,4114.17505787037,2015,0.405
"599","NEOSHO RIVER BASIN","SC","SC625","5/27/15",1329,38.394,-96.62651,11070203,4227.19241898148,2015,1.275
"600","NEOSHO RIVER BASIN","SC","SC625","8/4/15",1257,38.394,-96.62651,11070203,4296.17019675926,2015,0.565
"601","NEOSHO RIVER BASIN","SC","SC625","11/9/15",1259,38.394,-96.62651,11070203,4393.17158564815,2015,0.485
"602","NEOSHO RIVER BASIN","SC","SC626","2/3/15",1246,38.38665,-96.68846,11070203,4114.16255787037,2015,0.175
"603","NEOSHO RIVER BASIN","SC","SC626","5/27/15",1306,38.38665,-96.68846,11070203,4227.17644675926,2015,1.115
"604","NEOSHO RIVER BASIN","SC","SC626","5/27/15",1311,38.38665,-96.68846,11070203,4227.17991898148,2015,1.025
"605","NEOSHO RIVER BASIN","SC","SC626","8/4/15",1243,38.38665,-96.68846,11070203,4296.16047453704,2015,0.645
"606","NEOSHO RIVER BASIN","SC","SC626","11/9/15",1244,38.38665,-96.68846,11070203,4393.16116898148,2015,0.415
"607","NEOSHO RIVER BASIN","SC","SC627","2/3/15",1229,38.36978,-96.63024,11070203,4114.15075231481,2015,0.495
"608","NEOSHO RIVER BASIN","SC","SC627","5/27/15",1249,38.36978,-96.63024,11070203,4227.1646412037,2015,2.005
"609","NEOSHO RIVER BASIN","SC","SC627","8/4/15",1226,38.36978,-96.63024,11070203,4296.14866898148,2015,1.545
"610","NEOSHO RIVER BASIN","SC","SC627","11/9/15",1228,38.36978,-96.63024,11070203,4393.15005787037,2015,0.585
"611","NEOSHO RIVER BASIN","SC","SC628","2/2/15",1136,38.43658,-96.17069,11070201,4113.11394675926,2015,2.265
"612","NEOSHO RIVER BASIN","SC","SC628","5/26/15",1157,38.43658,-96.17069,11070201,4226.12853009259,2015,1.715
"613","NEOSHO RIVER BASIN","SC","SC628","8/3/15",1208,38.43658,-96.17069,11070201,4295.13616898148,2015,0.975
"614","NEOSHO RIVER BASIN","SC","SC628","11/4/15",1048,38.43658,-96.17069,11070201,4388.08061342593,2015,0.765
"615","NEOSHO RIVER BASIN","SC","SC629","2/2/15",1006,38.582002,-96.375275,11070201,4113.05144675926,2015,0.395
"616","NEOSHO RIVER BASIN","SC","SC629","2/2/15",1011,38.582002,-96.375275,11070201,4113.05491898148,2015,0.365
"617","NEOSHO RIVER BASIN","SC","SC629","5/26/15",1048,38.582002,-96.375275,11070201,4226.08061342593,2015,2.485
"618","NEOSHO RIVER BASIN","SC","SC629","8/3/15",1112,38.582002,-96.375275,11070201,4295.09728009259,2015,0.885
"619","NEOSHO RIVER BASIN","SC","SC629","11/4/15",949,38.582002,-96.375275,11070201,4388.0396412037,2015,0.725
"620","NEOSHO RIVER BASIN","SC","SC629","11/4/15",954,38.582002,-96.375275,11070201,4388.04311342593,2015,0.755
"621","NEOSHO RIVER BASIN","SC","SC630","2/2/15",946,38.6127,-96.46189,11070201,4113.03755787037,2015,0.175
"622","NEOSHO RIVER BASIN","SC","SC630","5/26/15",1028,38.6127,-96.46189,11070201,4226.06672453704,2015,1.815
"623","NEOSHO RIVER BASIN","SC","SC630","8/3/15",1049,38.6127,-96.46189,11070201,4295.08130787037,2015,0.465
