"","a","b","phi"
"266",-3.15591331526205,0.0143080254532399,86.0161480117028
"267",-3.19923278291018,0.0116642457317513,98.0610136947383
"268",-3.19765620917509,0.0144052632655153,102.007254380146
"269",-3.16137094242518,0.00524740623160279,71.7966236776707
"270",-3.09751632980531,0.00987892218851306,131.571878431012
"271",-3.24837202608079,0.006767815248458,119.506862988553
"272",-3.22083842127234,0.0169451299542192,117.790940954815
"273",-3.3175358390831,0.0242947939131849,107.507866496625
"274",-3.29429097847485,0.0175418219389733,115.090499324383
"275",-3.22496689441708,0.0155310170940459,70.4080350650007
"276",-3.22300549755147,0.0166254189186001,77.8876870030779
"277",-3.29069747052572,0.0159405093251061,103.346524775502
"278",-3.20453989567755,0.00251762693541365,91.1576192890033
"279",-3.13424617692419,0.00407061629692868,108.788047536765
"280",-3.17099323309796,0.00342837990214298,109.914811123463
"281",-3.17190533113391,0.0039022708751806,89.2051263491808
"282",-3.14409898431357,0.00420271599713333,91.1876968430303
"283",-3.0978600825934,0.00576747668566844,93.3988281629471
"284",-3.11008156741731,0.00594714590287821,96.4109495458278
"285",-3.09365339796601,0.00736990613781059,64.8239018131383
"286",-3.15063608456941,0.00356577505661065,66.7763887897709
"287",-3.04177562292795,-0.0024223881399698,91.2577031438878
"288",-3.01798273515787,0.0019143273373564,81.9391991933134
"289",-3.11107617161454,0.00744598664307493,80.3428688144713
"290",-3.22501839681337,0.02866203132814,96.4228992212573
"291",-3.24060501124205,0.02881901967268,91.6737092528179
"292",-3.34577342995308,0.0207894381468502,76.0677574055142
"293",-3.33010844999074,0.0246560602855345,88.9918912011611
"294",-3.3424329980979,0.0244884164379796,66.7020225868505
"295",-3.34196567203421,0.0215557843476074,82.2918941663843
"296",-3.34128122625396,0.0244477250470982,91.0951136669847
"297",-3.25998313132461,0.0185282074188847,89.0509918896036
"298",-3.25012316995531,0.0162164264501123,67.9413323762756
"299",-3.23201030500386,0.0199768646938449,100.580769559605
"300",-3.22485975346454,0.0162776852479244,93.3424867035558
"301",-3.31041009863575,0.0271711449565165,109.234496277325
"302",-3.32112987044411,0.0259064515375612,83.4536572374566
"303",-3.42663081973153,0.026435438513472,95.7415430239471
"304",-3.3426287711431,0.0240784511747579,84.770241139127
"305",-3.32817880145528,0.0243373843127138,83.267635508827
"306",-3.31765146332202,0.0222548291222883,54.771525248596
"307",-3.28316936645591,0.0184674779547251,52.0855868605053
"308",-3.24555082878862,0.0198274948903502,57.6527666992218
"309",-3.25328289816567,0.0199045559020489,129.120304007856
"310",-3.3171812069166,0.0210399458065992,111.259374198511
"311",-3.31187691293289,0.0212622397802035,83.84637748217
"312",-3.22232153749691,0.0157241510519904,92.8268005757424
"313",-3.1758118369422,0.0178269412484472,62.1572526516657
"314",-3.2914982466404,0.0253438618767133,97.3576869796583
